date,1. open,2. high,3. low,4. close,5. volume
2019-07-22 09:31:00,203.65,204.43,203.61,204.39,893365.0
2019-07-22 09:32:00,204.405,204.85,204.35,204.605,265587.0
2019-07-22 09:33:00,204.6199,204.9,204.57,204.68,239054.0
2019-07-22 09:34:00,204.68,204.95,204.57,204.94,226806.0
2019-07-22 09:35:00,204.94,205.1,204.79,205.05,270493.0
2019-07-22 09:36:00,205.04,205.1,204.86,205.03,181160.0
2019-07-22 09:37:00,205.03,205.15,205.03,205.1,90990.0
2019-07-22 09:38:00,205.4,205.43,205.165,205.2,234972.0
2019-07-22 09:39:00,205.21,205.43,205.12,205.42,149016.0
2019-07-22 09:40:00,205.4269,205.4669,205.07,205.23,109283.0
2019-07-22 09:41:00,205.2439,205.48,205.23,205.405,98835.0
2019-07-22 09:42:00,205.405,205.5,205.3602,205.44,152123.0
2019-07-22 09:43:00,205.43,205.44,205.18,205.355,89914.0
2019-07-22 09:44:00,205.365,205.43,205.31,205.43,44307.0
2019-07-22 09:45:00,205.43,205.5,205.3839,205.49,118254.0
2019-07-22 09:46:00,205.5,205.69,205.44,205.445,140765.0
2019-07-22 09:47:00,205.425,205.64,205.4075,205.545,93971.0
2019-07-22 09:48:00,205.55,205.75,205.55,205.7307,110724.0
2019-07-22 09:49:00,205.75,205.87,205.69,205.85,136909.0
2019-07-22 09:50:00,205.845,205.995,205.81,205.98,141858.0
2019-07-22 09:51:00,205.975,206.09,205.96,206.07,166247.0
2019-07-22 09:52:00,206.08,206.17,206.07,206.115,111743.0
2019-07-22 09:53:00,206.11,206.11,205.94,206.04,96077.0
2019-07-22 09:54:00,206.06,206.1,206.02,206.06,62474.0
2019-07-22 09:55:00,206.06,206.27,206.05,206.22,88157.0
2019-07-22 09:56:00,206.23,206.24,206.11,206.16,81726.0
2019-07-22 09:57:00,206.17,206.18,206.0175,206.0194,118008.0
2019-07-22 09:58:00,206.01,206.02,205.82,205.904,112949.0
2019-07-22 09:59:00,205.92,206.0106,205.86,206.0,50840.0
2019-07-22 10:00:00,206.0,206.05,205.913,206.04,75313.0
2019-07-22 10:01:00,206.06,206.175,206.01,206.0467,82413.0
2019-07-22 10:02:00,206.085,206.085,206.085,206.085,49524.0
2019-07-22 10:03:00,206.08,206.12,205.99,206.049,68240.0
2019-07-22 10:04:00,206.05,206.11,205.87,205.92,51323.0
2019-07-22 10:05:00,205.94,206.03,205.915,205.93,47715.0
2019-07-22 10:06:00,205.93,205.98,205.82,205.8252,54305.0
2019-07-22 10:07:00,205.825,205.92,205.78,205.83,66583.0
2019-07-22 10:08:00,205.83,205.95,205.81,205.93,63324.0
2019-07-22 10:09:00,205.94,206.08,205.93,206.0319,85962.0
2019-07-22 10:10:00,206.04,206.04,205.87,206.01,55957.0
2019-07-22 10:11:00,206.01,206.02,205.86,205.86,52514.0
2019-07-22 10:12:00,205.88,205.94,205.76,205.795,64297.0
2019-07-22 10:13:00,205.8,205.94,205.785,205.94,63855.0
2019-07-22 10:14:00,205.94,205.9892,205.91,205.97,37675.0
2019-07-22 10:15:00,205.98,206.0,205.95,205.98,41574.0
2019-07-22 10:16:00,205.9835,206.1,205.97,206.055,61872.0
2019-07-22 10:17:00,206.05,206.0601,205.91,206.0,44201.0
2019-07-22 10:18:00,206.01,206.0423,205.87,205.93,72889.0
2019-07-22 10:19:00,205.93,205.93,205.84,205.89,33444.0
2019-07-22 10:20:00,205.89,205.89,205.66,205.69,106858.0
2019-07-22 10:21:00,205.69,205.72,205.62,205.635,83201.0
2019-07-22 10:22:00,205.625,205.8295,205.61,205.78,72724.0
2019-07-22 10:23:00,205.78,205.83,205.735,205.7641,38219.0
2019-07-22 10:24:00,205.76,205.86,205.73,205.85,62671.0
2019-07-22 10:25:00,205.85,205.9169,205.84,205.9,59036.0
2019-07-22 10:26:00,205.9,206.0299,205.89,206.0102,74412.0
2019-07-22 10:27:00,206.01,206.05,205.95,205.965,44814.0
2019-07-22 10:28:00,205.96,206.06,205.95,206.03,39262.0
2019-07-22 10:29:00,206.03,206.13,206.005,206.13,64627.0
2019-07-22 10:30:00,206.13,206.1998,206.12,206.165,67474.0
2019-07-22 10:31:00,206.16,206.1895,206.12,206.155,45668.0
2019-07-22 10:32:00,206.16,206.18,206.09,206.115,50520.0
2019-07-22 10:33:00,206.125,206.15,206.11,206.1361,54369.0
2019-07-22 10:34:00,206.12,206.16,206.05,206.07,55192.0
2019-07-22 10:35:00,206.07,206.07,205.94,205.965,81337.0
2019-07-22 10:36:00,205.96,206.08,205.945,206.08,45791.0
2019-07-22 10:37:00,206.085,206.14,206.05,206.1,47246.0
2019-07-22 10:38:00,206.1,206.13,206.04,206.075,33809.0
2019-07-22 10:39:00,206.07,206.12,206.02,206.1,87473.0
2019-07-22 10:40:00,206.11,206.17,206.08,206.16,45234.0
2019-07-22 10:41:00,206.16,206.24,206.09,206.09,73978.0
2019-07-22 10:42:00,206.08,206.1,206.01,206.04,46763.0
2019-07-22 10:43:00,206.04,206.06,205.9,205.91,49426.0
2019-07-22 10:44:00,205.91,205.99,205.9,205.95,25935.0
2019-07-22 10:45:00,205.945,205.97,205.83,205.88,94505.0
2019-07-22 10:46:00,205.88,205.93,205.7515,205.86,55438.0
2019-07-22 10:47:00,205.85,205.94,205.82,205.88,42079.0
2019-07-22 10:48:00,205.875,206.0068,205.85,205.98,38417.0
